"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/9/2021 2:49:53 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/9/2021 5:49:52 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/9/2021 8:49:51 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/9/2021 11:49:50 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/9/2021 2:49:50 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/9/2021 5:49:48 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/9/2021 8:49:47 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/9/2021 11:49:48 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/10/2021 2:49:46 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/10/2021 5:49:46 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/10/2021 8:49:45 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/10/2021 11:49:43 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/10/2021 2:49:42 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/10/2021 5:49:41 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/10/2021 8:49:42 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/11/2021 2:49:39 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/11/2021 5:49:39 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/11/2021 8:49:38 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/11/2021 11:49:37 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/11/2021 2:49:36 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/11/2021 5:49:35 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/11/2021 8:49:35 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/11/2021 11:49:33 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/12/2021 2:49:32 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/12/2021 5:49:32 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/12/2021 8:49:31 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/12/2021 11:49:30 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/12/2021 2:49:29 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/12/2021 5:49:28 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/12/2021 8:49:28 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/12/2021 11:49:27 PM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/13/2021 2:49:26 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/13/2021 5:49:25 AM","92","100","","","1"
"3DD.003D616B87","Steelhead","Hatchery Reared","Observation","Instream Remote Detection System","CHU","12/13/2021 8:49:24 AM","92","100","","","1"
