tag_code,origin,mark_site,site,site_name,event_type_name,first_event,last_event,tag_detects
3DD.0077C16DCF,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2019-02-20T10:34:25Z,2019-02-20T10:34:25Z,CHIP BCC BO1 TD1 JO1 MC2 PRA RIA LWE TUF UWE CHL
3DD.0077C16DCF,H,CHIP,BCC,BON PH2 Corner Collector,Observation,2019-05-21T18:40:59Z,2019-05-21T18:41:00Z,CHIP BCC BO1 TD1 JO1 MC2 PRA RIA LWE TUF UWE CHL
3DD.0077C16DCF,H,CHIP,BO1,Bonneville Bradford Is. Ladder,Observation,2021-07-17T12:35:38Z,2021-07-17T13:44:51Z,CHIP BCC BO1 TD1 JO1 MC2 PRA RIA LWE TUF UWE CHL
3DD.0077C16DCF,H,CHIP,TD1,The Dalles East Fish Ladder,Observation,2021-07-19T15:59:12Z,2021-07-19T15:59:18Z,CHIP BCC BO1 TD1 JO1 MC2 PRA RIA LWE TUF UWE CHL
3DD.0077C16DCF,H,CHIP,JO1,John Day South Fish Ladder,Observation,2021-07-20T15:38:46Z,2021-07-20T15:38:54Z,CHIP BCC BO1 TD1 JO1 MC2 PRA RIA LWE TUF UWE CHL
3DD.0077C16DCF,H,CHIP,MC2,McNary Washington Shore Ladder,Observation,2021-07-22T11:46:30Z,2021-07-22T12:32:37Z,CHIP BCC BO1 TD1 JO1 MC2 PRA RIA LWE TUF UWE CHL
3DD.0077C16DCF,H,CHIP,PRA,Priest Rapids Adult,Observation,2021-07-27T13:07:08Z,2021-07-27T13:10:24Z,CHIP BCC BO1 TD1 JO1 MC2 PRA RIA LWE TUF UWE CHL
3DD.0077C16DCF,H,CHIP,RIA,Rock Island Adult,Observation,2021-07-31T10:50:56Z,2021-07-31T11:16:21Z,CHIP BCC BO1 TD1 JO1 MC2 PRA RIA LWE TUF UWE CHL
3DD.0077C16DCF,H,CHIP,LWE,Lower Wenatchee River,Observation,2021-08-07T04:25:38Z,2021-08-07T04:26:23Z,CHIP BCC BO1 TD1 JO1 MC2 PRA RIA LWE TUF UWE CHL
3DD.0077C16DCF,H,CHIP,TUF,Tumwater Dam Adult Fishway,Observation,2021-08-21T13:43:14Z,2021-08-21T13:51:30Z,CHIP BCC BO1 TD1 JO1 MC2 PRA RIA LWE TUF UWE CHL
3DD.0077C16DCF,H,CHIP,UWE,Upper Wenatchee River,Observation,2021-11-02T19:49:50Z,2021-11-02T19:49:50Z,CHIP BCC BO1 TD1 JO1 MC2 PRA RIA LWE TUF UWE CHL
3DD.0077C16DCF,H,CHIP,CHL,Lower Chiwawa River,Observation,2022-04-16T01:04:43Z,2022-05-17T15:39:50Z,CHIP BCC BO1 TD1 JO1 MC2 PRA RIA LWE TUF UWE CHL
3DD.0077C389CF,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2019-03-01T11:14:20Z,2019-03-01T11:14:20Z,CHIP CHU
3DD.0077C389CF,H,CHIP,CHU,Upper Chiwawa River,Observation,2019-07-19T08:44:18Z,2022-06-05T14:25:57Z,CHIP CHU
3DD.0077D42789,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2019-02-27T14:36:54Z,2019-02-27T14:36:54Z,CHIP CHL UWE CHU
3DD.0077D42789,H,CHIP,CHL,Lower Chiwawa River,Observation,2022-04-07T22:42:40Z,2022-04-07T22:42:40Z,CHIP CHL UWE CHU
3DD.0077D42789,H,CHIP,UWE,Upper Wenatchee River,Observation,2022-05-07T02:03:41Z,2022-05-07T02:03:41Z,CHIP CHL UWE CHU
3DD.0077D42789,H,CHIP,CHU,Upper Chiwawa River,Observation,2022-05-18T03:58:34Z,2022-05-27T14:31:33Z,CHIP CHL UWE CHU
3DD.0077D4CE02,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2019-02-27T15:00:20Z,2019-02-27T15:00:20Z,CHIP TUF CHL UWE
3DD.0077D4CE02,H,CHIP,TUF,Tumwater Dam Adult Fishway,Observation,2022-04-05T15:30:54Z,2022-04-05T16:19:13Z,CHIP TUF CHL UWE
3DD.0077D4CE02,H,CHIP,CHL,Lower Chiwawa River,Observation,2022-05-12T12:19:44Z,2022-05-24T04:55:48Z,CHIP TUF CHL UWE
3DD.0077D4CE02,H,CHIP,UWE,Upper Wenatchee River,Observation,2022-05-25T18:10:32Z,2022-06-05T04:28:26Z,CHIP TUF CHL UWE
3DD.0077D4CEA0,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2019-03-01T12:15:52Z,2019-03-01T12:15:52Z,CHIP CHL
3DD.0077D4CEA0,H,CHIP,CHL,Lower Chiwawa River,Observation,2022-05-07T20:37:48Z,2022-05-16T04:13:37Z,CHIP CHL
3DD.0077D793DF,H,CHIP,CHIP,Chiwawa Rearing Pond,Mark,2018-04-30T13:20:00Z,2018-04-30T13:20:00Z,CHIP CHU
3DD.0077D793DF,H,CHIP,CHU,Upper Chiwawa River,Observation,2022-06-06T08:03:21Z,2022-06-06T08:03:21Z,CHIP CHU
